index,mse,js_per_seq,js_conc,poiss,pr_corr,sp_corr,targets,pred type,eval type,bin_size,data_dir,l_rate,loss_fn,model_fn,num_epochs,window_size,run_dir
3,1.3344605,0.3997504,0.4176827459354461,,0.5546823415372774,0.40805129603246604,RWPE2,raw,whole,1,datasets/complete/peak_centered/i_3072_w_1/,0.001,multinomialnll_mse_reg,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133014-feom6rqk
4,1.1289269,0.4254909,0.4461832067045553,,0.3941877594787674,0.21826452994974596,HG03575,raw,whole,1,datasets/complete/peak_centered/i_3072_w_1/,0.001,multinomialnll_mse_reg,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133014-feom6rqk
5,0.4281069,0.22646095,0.28769895780472043,,0.6185260506312135,0.5558433649397697,K562,raw,whole,1,datasets/complete/peak_centered/i_3072_w_1/,0.001,multinomialnll_mse_reg,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133014-feom6rqk
6,0.97084653,0.47244573,0.49165959279041677,,0.48274210776989396,0.28897796562862854,DND-41,raw,whole,1,datasets/complete/peak_centered/i_3072_w_1/,0.001,multinomialnll_mse_reg,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133014-feom6rqk
7,0.76134175,0.25666577,0.3258033086320697,,0.5571732660955097,0.4544149375344449,GM12878,raw,whole,1,datasets/complete/peak_centered/i_3072_w_1/,0.001,multinomialnll_mse_reg,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133014-feom6rqk
8,0.36045548,0.21866462,0.26822689512210685,,0.6644449191594387,0.6117076433506188,A549,raw,whole,1,datasets/complete/peak_centered/i_3072_w_1/,0.001,multinomialnll_mse_reg,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133014-feom6rqk
9,0.76592875,0.38684818,0.40411280620525236,,0.621743130267198,0.39608169137007504,HCT116,raw,whole,1,datasets/complete/peak_centered/i_3072_w_1/,0.001,multinomialnll_mse_reg,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133014-feom6rqk
10,1.224878,0.43273818,0.45688767093355614,,0.5250920087233094,0.30775210802692665,IMR-90,raw,whole,1,datasets/complete/peak_centered/i_3072_w_1/,0.001,multinomialnll_mse_reg,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133014-feom6rqk
11,0.66532147,0.25430682,0.2992975624213991,,0.5685130592717024,0.4620856960186381,NCI-H929,raw,whole,1,datasets/complete/peak_centered/i_3072_w_1/,0.001,multinomialnll_mse_reg,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133014-feom6rqk
12,0.43710405,0.39362714,0.4114445028113287,,0.5812251218118518,0.4112031600979568,Panc1,raw,whole,1,datasets/complete/peak_centered/i_3072_w_1/,0.001,multinomialnll_mse_reg,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133014-feom6rqk
